Hobby,OpenSource,Country,Student,Employment,FormalEducation,UndergradMajor,CompanySize,DevType,YearsCoding,Salary,SalaryType,ConvertedSalary
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist,9-11 years,118000.0,,118000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,Fewer than 10 employees,Data scientist or machine learning specialist,3-5 years,55000.0,,55000.0
Yes,No,United States,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)",10 to 19 employees,Data scientist or machine learning specialist,9-11 years,130000.0,Yearly,130000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,500 to 999 employees,Data scientist or machine learning specialist,30 or more years,200000.0,Yearly,200000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist;Database administrator,15-17 years,64000.0,Yearly,64000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist,6-8 years,135000.0,Yearly,135000.0
No,No,United States,No,Employed full-time,Some college/university study without earning a degree,"A social science (ex. anthropology, psychology, political science)",100 to 499 employees,Data scientist or machine learning specialist;Database administrator,6-8 years,47500.0,Yearly,47500.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Data scientist or machine learning specialist;Engineering manager;Front-end developer;Full-stack developer;QA or test developer,9-11 years,145000.0,Yearly,145000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;DevOps specialist;Front-end developer;System administrator,9-11 years,112000.0,Yearly,112000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist;Educator or academic researcher;Game or graphics developer,12-14 years,150000.0,Yearly,150000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist,24-26 years,110000.0,Yearly,110000.0
Yes,Yes,United States,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,"C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;DevOps specialist;Engineering manager;Full-stack developer",27-29 years,250000.0,Yearly,250000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,500 to 999 employees,Data scientist or machine learning specialist,3-5 years,85000.0,,85000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist,3-5 years,94000.0,Yearly,94000.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data scientist or machine learning specialist;Embedded applications or devices developer;Student,9-11 years,79032.5,Yearly,79032.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,"1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;DevOps specialist;System administrator,15-17 years,177000.0,Yearly,177000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist;Educator or academic researcher,0-2 years,52000.0,Yearly,52000.0
No,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Information systems, information technology, or system administration","10,000 or more employees",Data scientist or machine learning specialist;Full-stack developer,24-26 years,99000.0,Yearly,99000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Data scientist or machine learning specialist,6-8 years,120000.0,,120000.0
Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)",10 to 19 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;Engineering manager;Full-stack developer;Product manager",6-8 years,60000.0,Yearly,60000.0
No,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Data scientist or machine learning specialist;Educator or academic researcher,6-8 years,94000.0,Yearly,94000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Fine arts or performing arts (ex. graphic design, music, studio art)",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator,6-8 years,115000.0,,115000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",10 to 19 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator,21-23 years,130000.0,,130000.0
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Data scientist or machine learning specialist;Desktop or enterprise applications developer;DevOps specialist;Front-end developer,30 or more years,380000.0,Yearly,380000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",100 to 499 employees,Data scientist or machine learning specialist,3-5 years,195000.0,Yearly,195000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;System administrator,30 or more years,175000.0,Weekly,2000000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)",Fewer than 10 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Designer;DevOps specialist;Front-end developer;Full-stack developer,3-5 years,120000.0,Yearly,120000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",10 to 19 employees,"C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;DevOps specialist;Engineering manager",12-14 years,110000.0,Yearly,110000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist;Educator or academic researcher,6-8 years,165000.0,Weekly,2000000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Information systems, information technology, or system administration","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;DevOps specialist,6-8 years,145000.0,Yearly,145000.0
Yes,Yes,United States,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",Fewer than 10 employees,Data scientist or machine learning specialist;Educator or academic researcher;Student,3-5 years,34000.0,Yearly,34000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)",20 to 99 employees,Data scientist or machine learning specialist;Full-stack developer,6-8 years,125000.0,Yearly,125000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;Designer;Front-end developer;Full-stack developer;Mobile developer;System administrator,30 or more years,160000.0,Yearly,160000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist;Front-end developer,3-5 years,70000.0,Yearly,70000.0
Yes,No,United States,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",,10 to 19 employees,Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Student,6-8 years,80000.0,,80000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Data scientist or machine learning specialist,30 or more years,124000.0,Yearly,124000.0
Yes,Yes,United States,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,100 to 499 employees,Data scientist or machine learning specialist;DevOps specialist,9-11 years,75000.0,Yearly,75000.0
Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist,9-11 years,180000.0,,180000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Fewer than 10 employees,Data scientist or machine learning specialist,6-8 years,76000.0,Yearly,76000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Data scientist or machine learning specialist,15-17 years,100000.0,Yearly,900.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer;Mobile developer;System administrator,15-17 years,87500.0,Yearly,87500.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,"Back-end developer;C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist;DevOps specialist;Educator or academic researcher;Front-end developer;Full-stack developer;Mobile developer;System administrator",18-20 years,165000.0,Yearly,165000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer,15-17 years,135000.0,Yearly,135000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Data scientist or machine learning specialist;Embedded applications or devices developer,3-5 years,110000.0,Yearly,110000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer,9-11 years,97000.0,Yearly,97000.0
No,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist,6-8 years,110000.0,Yearly,110000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;Educator or academic researcher,3-5 years,83000.0,Yearly,83000.0
No,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",,20 to 99 employees,Data scientist or machine learning specialist,21-23 years,140000.0,,140000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)",100 to 499 employees,Data or business analyst;Data scientist or machine learning specialist,6-8 years,110000.0,,110000.0
No,No,United States,"Yes, full-time",Employed part-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Fine arts or performing arts (ex. graphic design, music, studio art)",Fewer than 10 employees,Data scientist or machine learning specialist;Educator or academic researcher;Student,9-11 years,100000.0,,100000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A humanities discipline (ex. literature, history, philosophy)",100 to 499 employees,Data scientist or machine learning specialist;Full-stack developer,6-8 years,87000.0,Yearly,87000.0
No,No,United States,,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering","10,000 or more employees",Data scientist or machine learning specialist,12-14 years,47000.0,Yearly,47000.0
Yes,Yes,United States,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)","1,000 to 4,999 employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Educator or academic researcher;Front-end developer;Full-stack developer,6-8 years,64000.0,Yearly,64000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A social science (ex. anthropology, psychology, political science)",Fewer than 10 employees,Data or business analyst;Data scientist or machine learning specialist,3-5 years,52000.0,Yearly,52000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Fine arts or performing arts (ex. graphic design, music, studio art)",10 to 19 employees,Data scientist or machine learning specialist;Designer;Front-end developer;Full-stack developer;Product manager,9-11 years,135000.0,Yearly,135000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist,15-17 years,120000.0,Yearly,120000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Front-end developer;Full-stack developer;Product manager,9-11 years,190000.0,Yearly,190000.0
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Back-end developer;Data scientist or machine learning specialist,6-8 years,150000.0,,150000.0
No,Yes,United States,"Yes, full-time",Employed part-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)","10,000 or more employees",Data scientist or machine learning specialist,3-5 years,70000.0,Weekly,2000000.0
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Educator or academic researcher;Full-stack developer;Product manager;System administrator,30 or more years,90000.0,Yearly,90000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,20 to 99 employees,Back-end developer;Data scientist or machine learning specialist,3-5 years,95000.0,Yearly,95000.0
Yes,No,United States,"Yes, full-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",Fewer than 10 employees,Data scientist or machine learning specialist;Student,3-5 years,33000.0,Yearly,33000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,10 to 19 employees,Data or business analyst;Data scientist or machine learning specialist;Product manager,3-5 years,87000.0,Yearly,87000.0
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering","1,000 to 4,999 employees",Data scientist or machine learning specialist;Desktop or enterprise applications developer;Game or graphics developer,24-26 years,162000.0,,162000.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist;Database administrator,6-8 years,66000.0,Yearly,66000.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)","5,000 to 9,999 employees",Data scientist or machine learning specialist,3-5 years,185000.0,Yearly,185000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A humanities discipline (ex. literature, history, philosophy)","5,000 to 9,999 employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;System administrator,27-29 years,110.0,Yearly,110.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","A natural science (ex. biology, chemistry, physics)",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist,12-14 years,120000.0,Yearly,120000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)","1,000 to 4,999 employees",Data scientist or machine learning specialist;Database administrator,3-5 years,45000.0,Yearly,45000.0
Yes,Yes,United States,"Yes, full-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",Fewer than 10 employees,Data scientist or machine learning specialist;Student;System administrator,9-11 years,28000.0,,28000.0
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","1,000 to 4,999 employees",Data or business analyst;Data scientist or machine learning specialist,6-8 years,78780.0,Yearly,78780.0
Yes,No,United States,"Yes, part-time",Employed full-time,Associate degree,"Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;Embedded applications or devices developer;Front-end developer;Full-stack developer;QA or test developer;System administrator,3-5 years,31000.0,Yearly,31000.0
Yes,No,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,10 to 19 employees,Data scientist or machine learning specialist,15-17 years,129000.0,Yearly,129000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)","5,000 to 9,999 employees",Data scientist or machine learning specialist,9-11 years,225000.0,Yearly,225000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Full-stack developer;Mobile developer,9-11 years,81000.0,Yearly,81000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Back-end developer;Data scientist or machine learning specialist;Full-stack developer,6-8 years,78000.0,Yearly,78000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,"5,000 to 9,999 employees",Data or business analyst;Data scientist or machine learning specialist,3-5 years,80000.0,Yearly,80000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,"10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;Full-stack developer,6-8 years,86000.0,Yearly,86000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist,6-8 years,95000.0,,95000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;DevOps specialist;Engineering manager;Product manager,18-20 years,135000.0,,135000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist,21-23 years,120000.0,Yearly,120000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,20 to 99 employees,Data scientist or machine learning specialist,6-8 years,115000.0,Yearly,115000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Mathematics or statistics,"10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Front-end developer,6-8 years,87000.0,Monthly,1044000.0
Yes,Yes,United States,"Yes, full-time",Employed part-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A social science (ex. anthropology, psychology, political science)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Educator or academic researcher;Full-stack developer;Student;System administrator,3-5 years,25000.0,Yearly,25000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering","5,000 to 9,999 employees",Data scientist or machine learning specialist,3-5 years,140000.0,,140000.0
No,Yes,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Full-stack developer,6-8 years,97500.0,Yearly,97500.0
No,Yes,United States,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Fine arts or performing arts (ex. graphic design, music, studio art)","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Educator or academic researcher;Front-end developer;Full-stack developer;Student,3-5 years,70001.0,Yearly,70001.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","5,000 to 9,999 employees",Data scientist or machine learning specialist;QA or test developer,9-11 years,141000.0,Yearly,141000.0
No,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;System administrator,9-11 years,60000.0,Yearly,60000.0
Yes,Yes,United States,"Yes, full-time",Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Fewer than 10 employees,Back-end developer;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer;Product manager;QA or test developer;System administrator,18-20 years,150000.0,Yearly,150000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;Designer;Embedded applications or devices developer,6-8 years,110000.0,Yearly,110000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)",Mathematics or statistics,"10,000 or more employees",Data scientist or machine learning specialist;Educator or academic researcher,30 or more years,150000.0,Yearly,150000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)","10,000 or more employees",Data or business analyst;Data scientist or machine learning specialist;Database administrator;Engineering manager,0-2 years,120000.0,Yearly,120000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",Fewer than 10 employees,Back-end developer;Data scientist or machine learning specialist,3-5 years,85000.0,Yearly,85000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;Educator or academic researcher;Engineering manager;Front-end developer;Full-stack developer;Game or graphics developer;Marketing or sales professional;Mobile developer;Student;System administrator,18-20 years,80000.0,Yearly,80000.0
Yes,Yes,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",20 to 99 employees,Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Database administrator;Designer;Desktop or enterprise applications developer;DevOps specialist;Embedded applications or devices developer;Front-end developer;Full-stack developer;Mobile developer;QA or test developer;System administrator,6-8 years,75000.0,Yearly,75000.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A humanities discipline (ex. literature, history, philosophy)",20 to 99 employees,Back-end developer;Data scientist or machine learning specialist;Full-stack developer;Student,12-14 years,120000.0,Yearly,120000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,Data scientist or machine learning specialist,6-8 years,65000.0,,65000.0
Yes,Yes,United States,No,Employed full-time,"Other doctoral degree (Ph.D, Ed.D., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;Educator or academic researcher;Engineering manager,12-14 years,115000.0,Yearly,115000.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",100 to 499 employees,"C-suite executive (CEO, CTO, etc.);Data scientist or machine learning specialist",15-17 years,400000.0,Yearly,400000.0
Yes,Yes,United States,"Yes, part-time",Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",500 to 999 employees,Back-end developer;Data scientist or machine learning specialist;Front-end developer;Full-stack developer;Student,12-14 years,128000.0,Yearly,128000.0
Yes,Yes,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",,"10,000 or more employees",Back-end developer;Data or business analyst;Data scientist or machine learning specialist;DevOps specialist;Full-stack developer,9-11 years,165000.0,,165000.0
Yes,No,United States,"Yes, full-time",Employed part-time,Some college/university study without earning a degree,Mathematics or statistics,"10,000 or more employees",Data scientist or machine learning specialist;DevOps specialist,6-8 years,52.0,Weekly,2600.0
Yes,No,United States,No,Employed full-time,Some college/university study without earning a degree,,"1,000 to 4,999 employees",Data scientist or machine learning specialist,18-20 years,135000.0,,135000.0
Yes,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",20 to 99 employees,Data scientist or machine learning specialist;Game or graphics developer;Mobile developer,18-20 years,98000.0,Yearly,98000.0
No,No,United States,No,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A natural science (ex. biology, chemistry, physics)",20 to 99 employees,Data scientist or machine learning specialist;Front-end developer;Full-stack developer,3-5 years,90000.0,Yearly,90000.0
Yes,Yes,United States,No,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",20 to 99 employees,Data or business analyst;Data scientist or machine learning specialist,6-8 years,60000.0,,60000.0
Yes,No,United States,No,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering","10,000 or more employees",Back-end developer;Data scientist or machine learning specialist,12-14 years,250000.0,,250000.0
